title,tags
Yaad Hai Na,arijitsingh bollywoodromantic raazreboot 9.1
Balma,rekhabhardwaj sunidhichauhan bollywooddance pataakha 9.2
Kisi Se Pyar Ho Jaye,jubinnautiyal bollywooddanceromantic kaabil 9.2
Sau Aasmaan,armaanmalik neetimohan bollywooddance baarbaardekho 9.4
Beparwah,nandinideb siddharthbasrur bollywooddance munnamichael 9.0
Yaad Hai,ankittiwari palakmuchhal bollywoodsad aiyaary 9.7
Dhayaan Chand,amittrivedi nikhitagandhi suhassawant vijayyamla bollywooddance manmarziyaan 9.4
Aaj Zid,arijitsingh bollywoodsensual aksar2 9.1
Hum Pyaar Hai Tumhare,alkayagnik kumarsanu bollywoodromantic haanmainebhipyaarkiya 8.8
Main Hoon,siddharthmahadevan bollywooddance munnamichael 9.1
Swag Saha Nahi Jaye,nehabhasin shadabfaridi sohailsen bollywooddance happyphirrbhaagjayegi 9.1
Chote Bade,ankittiwari mikasingh bollywooddance fryday 8.7
Main Hoon Saath Tere,arijitsingh bollywoodromantic shaadimeinzarooraana 9.7
Kabira,rekhabhardwaj tochiraina bollywoodsad yehjawaanihaideewani 9.4
Main Kaun Hoon,meghnamishra bollywoodsad secretsuperstar 9.5
Aashiq Surrender Hua,amaalmallik shreyaghoshal bollywooddance badrinathkidulhania 8.8
Nachan Farrate,kanikakapoor meetbros bollywooddance alliswell 8.9
Pyar De Pyar Le,devnegi ikka iuliavantur bollywooddance genius 9.3
Do Peg Maar,nehakakkar bollywooddance onenightstand 8.5
Tera Noor,jyotinooran bollywood tigerzindahai 9.3
Jaanu,juggyd raftaar shivi bollywooddance behenhogiteri 9.2
Hamdard,arijitsingh bollywoodromantic ekvillain 9.5
Hawa Hawai 2.0,kavitakrishnamurthy shashaatirupati bollywooddance tumharisulu 8.9
Dhoom Dhadakka,antaramitra shahidmallya bollywooddance namasteengland 9.1
Lovely,fateh kanikakapoor mirayavarma ravindraupadhyay bollywooddance happynewyear 9.3
Mohabbat Nasha Hai,nehakakkar tonykakkar bollywoodsad hatestory4 9.4
Chal Wahan Jaate Hain,arijitsingh bollywoodromantic heropanti 9.3
Ishq De Fanniyar,jyoticatangri bollywoodromantic fukreyreturns 9.6
Palat Tera Hero Idhar Hai,arijitsingh bollywooddanceromantic mainterahero 8.8
Tab Bhi Tu,rahatfatehalikhan bollywoodsad october 9.6
Yeh Ladka Hai Allah,alkayadnik uditnarayan bollywooddance kabhikhushikabhiegham 9.1
Tujhe Yaad Na Meri Aayee,alkayagnik manpreetakhtar uditnarayan bollywoodsad kuchkuchhotahai 8.8
Jalte Diye,anwesshaa harshdeepkaur shababsabri vineetsingh bollywoodromantic premratandhanpayo 8.8
Zindagi Bana Loon,palakmuchhal bollywoodromantic sweetieewedsnri 9.4
Humnava,papon bollywoodsad hamariadhurikahani 9.4
Galliyan,ankittiwari bollywoodromantic ekvillain 9.4
Tere Chehre Mein Woh Jaadu Hai,kishorekumar bollywoodromantic dharmatma 8.1
Golmaal Again Title Track,aditisinghsharma brijeshshandilya bollywooddance golmaalagain 9.0
Suno Ganpati Bappa Morya,amitmishra bollywooddance judwaa2 8.5
Dil Dene Ki Ruth,alkayagnik vinodrathod bollywooddance premgranth 7.5
Soch Na Sake,amaalmallik arijitsingh tulsikumar bollywoodromantic airlift 9.3
Tu Meri,vishaldadlani bollywooddanceromantic bangbang 9.5
Baby Ko Bass Pasand Hai,badshah ishita shalmalikholgade vishaldadlani bollywooddance sultan 7.9
Daddy Mummy,devisriprasad m.m.manasi bollywooddance bhaagjohnny 9.0
Dekha Hazaro Dafaa,arijitsingh palakmuchhal bollywoodromantic rustom 9.6
Khatar Patar,papon bollywooddance suidhaaga 9.4
Tu Mera Bhai Nahi Hai,gandhharvsachdeav raftaar bollywood fukreyreturns 9.5
Party With The Bhoothnath,yoyohoneysingh bollywooddance bhoothnathreturns 9.0
Hasi,amimishra bollywoodromanticsad hamariadhurikahani 9.5
Good Man Di Laaltein,sukhwindersingh sunidhichauhan bollywooddance soorma 9.5
Kaabil Hoon,jubinnautiyal palakmuchhal bollywoodromantic kaabil 8.8
Manali Trance,nehakakkar yoyohoneysingh bollywooddance theshaukeens 9.4
Main Teri Dushman Dushman Tu,latamangeshkar bollywooddance nagina 7.3
Hafiz Hafiz,mohitchauhan bollywoodromantic lailamajnu 9.4
Tere Jaisa Yaar Kahan,kishorekumar bollywood yaarana 9.1
Daryaa,ammyvirk shahidmallya bollywoodsad manmarziyaan 9.6
Chota Sa Fasana,arijitsingh bollywood karwaan 9.7
Main Adhoora,aakankshasharma yasserdesai bollywoodsad beiimaanlove 8.8
Aao Raja,nehakakkar yoyohoneysingh bollywooddance gabbarisback 9.1
Haseeno Ka Deewana,payaldev raftaar bollywooddance kaabil 9.1
Swag,brijeshshandaliya pranaay bollywooddance munnamichael 9.1
Ki Kariye Nachna Aaonda Nahin,hardysandhu nehakakkar raftaar bollywooddance tumbin2 9.0
Neele Neele Ambar par,kishorekumar bollywooddance kalaakaar 9.3
Choli Ke Peeche Kya Hai (Female),alkayagnik vinodrathod bollywooddance khalnayak 8.7
Kitna Haseen Chehra,kumarsanu bollywoodromantic dilwale 8.2
Girl I Need You,arijitsingh roachkilla bollywoodromantic baaghi 9.3
Sanam Teri Kasam,ankittiwari bollywoodromantic sanamterikasam 9.3
Kisi Din Banoongi Main,alkayagnik uditnarayan bollywooddance raja 8.4
Laaj Sharam,divyakumar enbee jasleenroyal bollywood veerediwedding 9.0
Badan Pe Sitaare,sonunigam bollywooddanceromantic fanneykhan 9.3
Menu Kehn De,himeshreshammiya bollywoodsad aapsemausiiquii 8.9
Bekhudi,aditisinghsharma darshanraval bollywoodromantic teraasurroor 9.0
Kun Faya Kun,a.r.rahman javedali mohitchauhan bollywooddance rockstar 9.4
Balam Pichkari,shalmalikholgade vishaldadlani bollywooddance yehjawaanihaideewani 9.1
Tinka Tinka Dil Mera,rahatfatehalikhan bollywoodsad tubelight 9.4
Jaana Ve,arijitsingh bollywoodromantic aksar2 9.3
Shubh Din,keerthisagathia yoticatangri bollywood parmanuthestoryofpokhran 9.6
The Disco Song,bennydayal naziahassan sunidhichauhan bollywooddance studentoftheyear 9.1
Nagada Sang Dhol,osmanmir shreyaghoshal bollywooddance goliyonkirasleelaram-leela 9.0
Tune Mari Entriyaan,bappilahiri k.k. neetimohan vishaldadlani bollywooddance gunday 8.9
Ijazat,arijitsingh meetbros bollywoodromanticsensual onenightstand 8.5
Tujhse Naaraz Nahi Zindagi,anupghoshal bollywoodsad masoom 9.2
Pyar Kabhi Kam Nahi Karna,ashabhosle bappilahiri bollywoodromantic prempratigyaa 8.2
Chikni Chameli,shreyaghoshal bollywooddance agneepath 9.2
Zaroorat,mustafazahid bollywoodsad ekvillain 9.4
Bang Bang,bennydayal neetimohan bollywooddance bangbang 9.3
Bulleya,papon bollywoodromantic sultan 9.4
Barso Re,shreyaghoshal bollywooddance guru 9.3
Manwa Laage,arijitsingh shreyaghoshal bollywoodromantic happynewyear 9.3
The Google Song,amaalmallik armaanmalik neetimohan sonunigam tulsikumar bollywooddance mubarakan 9.1
Ek Mulaqat,jubinnautiyal bollywoodromanticsad sonalicable 9.3
Suraj Hua Maddham,alkayagnik sonunigam bollywood kabhikhushikabhiegham 9.2
Aa Toh Sahii,meetbros nehakakkar bollywooddance judwaa2 9.2
Nazm Nazm,arko bollywoodromantic bareillykibarfi 9.6
Teri Ore,rahatfatehalikhan shreyaghoshal bollywoodromantic singhiskinng 9.4
Toota Jo Kabhi Tara,atifaslam sumedhakarmahe bollywoodsad aflyingjatt 9.3
Say “Shava Shava”,aadesh alkayagnik amitabhbachchan sudeshbhosle sunidhichauhan bollywooddance kabhikhushikabhiegham 9.1
